ts,artifact,category,path,status,proof
2026-06-05 00:02,ROUTE_TEST_LOG.csv,route_tests,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/01_TOOLCHAIN/route_tests/ROUTE_TEST_LOG.csv,ACTIVE,8/8 pass
2026-06-05 00:03,deed_a.png,hero_candidate,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/03_GENERATED_HERO_GALLERY/deed_a.png,ACTIVE,gated
2026-06-05 00:03,deed_b.png,hero_candidate,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/03_GENERATED_HERO_GALLERY/deed_b.png,ACTIVE,gated
2026-06-05 00:03,remains_a.png,hero_candidate,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/03_GENERATED_HERO_GALLERY/remains_a.png,ACTIVE,gated
2026-06-05 00:03,remains_b.png,hero_candidate,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/03_GENERATED_HERO_GALLERY/remains_b.png,ACTIVE,gated
2026-06-05 00:07,deed_winner_4k.png,winner_hero,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/00_raw/deed_winner_4k.png,ACTIVE,4K gate SHIP
2026-06-05 00:19,09_pitch_board.png,winner_DEED,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/artifacts/09_pitch_board.png,ACTIVE,gate SHIP
2026-06-05 00:19,07_onesheet.png,winner_DEED,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/artifacts/07_onesheet.png,ACTIVE,gate SHIP
2026-06-05 00:19,13_thumbnail.png,winner_DEED,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/artifacts/13_thumbnail.png,ACTIVE,gate SHIP
2026-06-05 00:19,02_titlecard.png,winner_DEED,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/artifacts/02_titlecard.png,ACTIVE,gate SHIP
2026-06-05 00:19,10_proof_dashboard.png,winner_DEED,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/artifacts/10_proof_dashboard.png,ACTIVE,gate SHIP
2026-06-05 00:19,carousel,winner_DEED,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/artifacts/carousel,ACTIVE,gate SHIP
2026-06-05 00:19,01_poster.png,winner_DEED,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/artifacts/01_poster.png,ACTIVE,gate SHIP
2026-06-05 00:19,03_landing_hero.png,winner_DEED,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/artifacts/03_landing_hero.png,ACTIVE,gate SHIP
2026-06-05 00:19,11_engine_dashboard.png,winner_DEED,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/artifacts/11_engine_dashboard.png,ACTIVE,gate SHIP
2026-06-05 00:19,08_lookbook.png,winner_DEED,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/artifacts/08_lookbook.png,ACTIVE,gate SHIP
2026-06-05 00:19,PITCH.pdf,winner_pdf,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/04_WINNER_PACKAGE/PITCH.pdf,ACTIVE,pdf
2026-06-05 00:19,09_pitch_board.png,runnerup_REMAINS,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/05_RUNNER_UP_PACKAGE/artifacts/09_pitch_board.png,ACTIVE,gate SHIP
2026-06-05 00:19,07_onesheet.png,runnerup_REMAINS,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/05_RUNNER_UP_PACKAGE/artifacts/07_onesheet.png,ACTIVE,gate SHIP
2026-06-05 00:19,13_thumbnail.png,runnerup_REMAINS,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/05_RUNNER_UP_PACKAGE/artifacts/13_thumbnail.png,ACTIVE,gate SHIP
2026-06-05 00:19,02_titlecard.png,runnerup_REMAINS,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/05_RUNNER_UP_PACKAGE/artifacts/02_titlecard.png,ACTIVE,gate SHIP
2026-06-05 00:19,10_proof_dashboard.png,runnerup_REMAINS,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/05_RUNNER_UP_PACKAGE/artifacts/10_proof_dashboard.png,ACTIVE,gate SHIP
2026-06-05 00:19,carousel,runnerup_REMAINS,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/05_RUNNER_UP_PACKAGE/artifacts/carousel,ACTIVE,gate SHIP
2026-06-05 00:19,01_poster.png,runnerup_REMAINS,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/05_RUNNER_UP_PACKAGE/artifacts/01_poster.png,ACTIVE,gate SHIP
2026-06-05 00:19,03_landing_hero.png,runnerup_REMAINS,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/05_RUNNER_UP_PACKAGE/artifacts/03_landing_hero.png,ACTIVE,gate SHIP
2026-06-05 00:19,11_engine_dashboard.png,runnerup_REMAINS,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/05_RUNNER_UP_PACKAGE/artifacts/11_engine_dashboard.png,ACTIVE,gate SHIP
2026-06-05 00:19,08_lookbook.png,runnerup_REMAINS,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/05_RUNNER_UP_PACKAGE/artifacts/08_lookbook.png,ACTIVE,gate SHIP
2026-06-05 00:21,OS_CAPABILITY_DASHBOARD.png,capability_dash,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/10_CAPABILITY_DASHBOARD/OS_CAPABILITY_DASHBOARD.png,ACTIVE,registry
2026-06-05 00:22,deed_still_teaser_9x16.mp4,trailer,OS_OVERNIGHT_MAX_OPERATING_SPRINT_001/07_MOTION_TRAILER/deed_still_teaser_9x16.mp4,ACTIVE,still-based
