doc_id,name,md5,segments,status
6_Content_Marketing_OS__1,6_Content_Marketing_OS (1).docx,ca954d3b68b620f545096c9dccf01881,1,ledger_built
Aesthetic_Statement_v1,Aesthetic_Statement_v1.docx,87858787cd34eae0178cda40fe902fee,1,ledger_built
Art_Series,Art_Series.docx,11c9567400bb47214f3fdd6928a712fa,1,ledger_built
BIZ_EXPENSES,BIZ EXPENSES.docx,17bc8897fef2cd69a6d4a19422c62c84,1,ledger_built
Brand_Builders_Playbook,Brand_Builders_Playbook.docx,e66b514831f03bffe3564a622cb9e3be,1,ledger_built
CLAUDE_CODE_PLUGIN,CLAUDE CODE PLUGIN.docx,0e841399ff4a314e02d7f4fa1ad40ada,1,ledger_built
Claude_Operating_Manual,Claude_Operating_Manual.docx,5adede3758d600926a22ccda8572b4d5,1,ledger_built
Cold_Outreach_Sales_Pipeline_Playbook,Cold_Outreach_Sales_Pipeline_Playbook.docx,0e82f50079174f00f3402a2dd256c34c,1,ledger_built
Contracts_Legal_Protection_Playbook,Contracts_Legal_Protection_Playbook.docx,19efc42d39db4e1f633d2a15f297c19b,1,ledger_built
Copywriting_Playbook,Copywriting_Playbook.docx,b77e31863fc3c35b09d9da0ec02c3df6,1,ledger_built
Digital_Products_AI_Services_Playbook,Digital_Products_AI_Services_Playbook.docx,42f2c9085cd1eb5b82fff32733502f2d,1,ledger_built
Direction_Stack_90Day_Plan,Direction_Stack_90Day_Plan.docx,c7709e7832a5bc8580c833dc5eac02e3,1,ledger_built
Evoto_AI_Retouching_Reference,Evoto_AI_Retouching_Reference.docx,dc4008f930a94268601dcf2de21b0ac8,1,ledger_built
Finding_Your_Edge,Finding Your Edge.docx,f1ee91a2e980fe08fbbb9eb60370440d,1,ledger_built
GaryVee_Attention_Operating_System,GaryVee_Attention_Operating_System.docx,bed118b06f98216503a8e165b3743941,1,ledger_built
Higgsfield_AI_Operator_Playbook,Higgsfield_AI_Operator_Playbook.docx,f04db77984dbc0f338450e2b0371c4f5,1,ledger_built
MASTER_CLAUDE_CODE_COURSE_1_thru_8_docx,MASTER CLAUDE CODE COURSE 1 thru 8.docx.docx,6db3ec1f4c833c94cd9cab149038432e,1,ledger_built
Money_Wealth_Getting_Ahead,Money_Wealth_Getting_Ahead.docx,cbbb5428bc0ed7bda65f51d8a4593870,1,ledger_built
NEW_TAKEOVER_HANDLE_WITH_CARE,NEW TAKEOVER HANDLE WITH CARE.docx,46e70d47acd40350fd43cb49f0246f2f,1,ledger_built
Photography_Editing_Playbook,Photography_Editing_Playbook.docx,4deb339b0ae979eb9c4a65e93e0e1810,1,ledger_built
Photography_Revenue_Playbook,Photography_Revenue_Playbook.docx,35635ad41f879f2c3cd2c52b1166a481,1,ledger_built
Pixieset_Operations_Reference,Pixieset_Operations_Reference.docx,95a75cfeaa272602df9d9823d40732fe,1,ledger_built
REMOTION,REMOTION.docx,55af993325af8e8cfe0dc15a9cc55193,1,ledger_built
SNIPED_Chat_Prompts_Reference,SNIPED_Chat_Prompts_Reference.docx,23736e13b83ff4e7a52e6b0622a981a4,1,ledger_built
THE_REAL_PLAN_Rebrand_Revenue_Execution,THE_REAL_PLAN_Rebrand_Revenue_Execution.docx,b77a9b484d28c61d0a56e25f3d1795a4,1,ledger_built
The_Adobe_Stack_Manual,The_Adobe_Stack_Manual.docx,58cec479e15d606b63ace371d872fe4f,1,ledger_built
The_Direction_Shift_Master_v2,The_Direction_Shift_Master_v2.docx,c68d71203a506d0eb799fb04757e1bdf,1,ledger_built
The_Operator_Playbook,The_Operator_Playbook.docx,29f634633ca8c56de8ef7b8842d1d846,1,ledger_built
claude_for_small_business_organized,claude_for_small_business_organized.docx,413c88f23320cd5c6c1bb1ffb619b0df,1,ledger_built
last_one_for_now,last one for now.docx,e0a4fd5d2c97241fcec6c716a34d9f19,1,ledger_built
life_story,life story.docx,b68bce3663c3b559ef7a87531ae7ef33,1,ledger_built
sniped_context_tools_only,sniped_context_tools_only.docx,c6155ac3a88c6c5f5e2b69f738fa8fe1,1,ledger_built
sniped_os_knowledge_dump,sniped_os_knowledge_dump.docx,904990e2e085cc104acd2b3bea7e9c95,1,ledger_built
AI_CHANGED_EVERYTHING,AI CHANGED EVERYTHING.docx,c3f272ec66eecd0157e47520b7762622,2,ledger_built
Built_an_AI_SaaS_in_20_min,Built an AI SaaS in 20 min.docx,6072bb7414b3d6a8b48ff3d56220b8d5,2,ledger_built
CLAUDE_CODE_SUPERPOWERS,CLAUDE CODE SUPERPOWERS.docx,16090084839199ef379fec436aa78f13,2,ledger_built
PHOTO_PIONEERS_VIDEO_TEXT,PHOTO PIONEERS VIDEO TEXT.docx,ba7999c6c0c052f7d851c5bd36097f16,2,ledger_built
The_Attention_Stack,The_Attention_Stack.docx,1ad675903ff7f692d54b43d483fe9726,2,ledger_built
The_Claude_Stack__1,The_Claude_Stack (1).docx,1d15f1baa0d60bf6f02e9ad2153a6787,2,ledger_built
The_Higgsfield_Codex,The_Higgsfield_Codex.docx,05ac72c94069d791a3754dda5f633105,2,ledger_built
The_Kling_AI_Codex,The_Kling_AI_Codex.docx,276bb5d544e8b1965d09c66f94df7308,2,ledger_built
The_Offer_Stack,The_Offer_Stack.docx,6c72377ca4ab1f76d5080ecd5264bb95,2,ledger_built
The_Platform_Stack,The_Platform_Stack.docx,475387aa9847304c1c0680c54feb6f30,2,ledger_built
The_Production_Stack,The_Production_Stack.docx,d88c1a00394abdace4eb01f76172d67c,2,ledger_built
The_Revenue_Stack,The_Revenue_Stack.docx,496e830ae14c4a9c5c1a80b93561a17e,2,ledger_built
legal_contracts_and_service_business_contracts,legal contracts and service business contracts.docx,7f81727d0268cb49ff11b31ee1d34b93,2,ledger_built
MOSTLY_PHOTOGRPAHY_SETS_SET_DESIGN,MOSTLY PHOTOGRPAHY SETS SET DESIGN .docx,1e4c2972b32646547177a343a6fcb4d8,3,ledger_built
SOCIAL_MEDIA_3_0_REFERENCE,SOCIAL_MEDIA_3_0_REFERENCE.docx,b812c65e67d7322c982ef389933f2228,3,ledger_built
THREADS,THREADS.docx,2c531e81afcd52b3bd5825b62cddaffb,3,ledger_built
adobe_goat,adobe goat.docx,ec145fcac7cf2b29fcd571e7f483565b,3,ledger_built
branding_x_clothes_gold,branding x clothes gold.docx,3e541f1a0c6016d0d3c3f11d7064f249,3,ledger_built
COURSE_WORK_1_thru_2,COURSE WORK 1 thru 2.docx,a635a30d778e6f5edaee7b371057d360,4,ledger_built
Gemini_PHOTO_YAP,Gemini PHOTO YAP.docx,77a33140bb966f484d60148e98945dbd,4,ledger_built
LA_PHOTOGRPAHY,LA PHOTOGRPAHY.docx,89b53e325623519c7c9bd2dc057ae768,4,ledger_built
garyvee_gameplan,garyvee gameplan.docx,2ad8ef68fac15d2bc6e58ee84a8f13c2,4,ledger_built
PHOTOGRAPHY_MONEY_GUIDE,PHOTOGRAPHY MONEY GUIDE.docx,f80126633ba79e6111fff42be795e8ee,5,ledger_built
kling_3_00,kling 3.00.docx,d08292a01795e1609ef8bd167df8c48d,5,ledger_built
set_up_ai,set up ai.docx,10bc966dcc4cc8a2f1b1f24c89e7c0d5,5,ledger_built
Gemini_Sniped_MAster_thread,Gemini Sniped MAster thread.docx,b74d43c64d6d0750d0ec803807d51fe1,6,ledger_built
Gemini,Gemini.docx,a93eef92e8f3602728ca3001e8cff92d,6,ledger_built
FINDING_MODELS_ANYWHERE_OG,FINDING MODELS ANYWHERE OG.docx,e00869f81ac9292ded3889fdd57e5a8d,8,ledger_built
MONEY_MONEY_AND_MORE_MONEY_AND_GETTING_AHEAD,MONEY MONEY AND MORE MONEY AND GETTING AHEAD .docx,282673612c552e2949538f7d82361102,9,ledger_built
using_ai_x_gumroad_x_digital_products,using ai x gumroad x digital products.docx,34362f93ea3d89387b9ac43319fcb2a8,9,ledger_built
FASHION_KILLA,FASHION KILLA.docx,9de3de352009975c58793e012d60ce55,10,ledger_built
chat_Sniped_MAster_thread,chat Sniped MAster thread.docx,111401b421b0b7a373c6f98e1984d1ed,10,ledger_built
claude_cowork_genius,claude cowork genius.docx,57db066e06130e8dcf39f4d414545949,10,ledger_built
claude_for_small_business,claude for small business.docx,57335f0d7445ea87c571bfa2d9c51d25,10,ledger_built
sniped_figma,sniped figma.docx,9842be039c7875dd33e2c14525d88153,10,ledger_built
Build_a_Brand_Like_Apple,Build a Brand Like Apple.docx,c4379500e4ca67582b490fe1217384ab,11,ledger_built
gary_thread,gary thread.docx,d4559967b7b52df0f9534ad4a87b6505,11,ledger_built
mostly_Powerhouse,mostly Powerhouse-.docx,cb7d57924fc58494e9202b6d78cc0910,11,ledger_built
LOCATION_SCOUTING_OG,LOCATION SCOUTING OG.docx,c6861e5c7bb084ab465ee996f5f4d6af,12,ledger_built
